,Samples,x,y,Maturidade,SiO2,TiO2,Sc,V,La,Ce,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Co,Ni,Ba,Sr,Hf,Ta,Th,U,K,Nd,Sm,Eu,Tb,Dy,Ho,Tm,Yb,Lu,Zr,Ir,Au,O,Cr,Mn
0,10002,"711775,1317","20448,1830000002",,42.16,7.75,60.2,70.0,15.8,43,13.6,0.3,15.34,0.2,7.76,11.94,0.47,,0.05,0.12,28.0,200.0,170.0,160.0,9.0,1.25,1.90,0.5,,37,11.4,1.60,2.9,17,4.1,,10.0,1.39,,,,,,
1,10010,"711774,8525","20444,6236999999",75.0,41.5,7.58,61.0,47.0,14.9,46,13.21,0.3,15.83,0.24,9.7,12.05,0.44,0.14,0.11,,29.0,197.0,205.0,2.5,,1.6,1.5,,,,12.1,1.66,7.82,,,,9.91,1.46,,,,,,
2,10011,"711777,7837","20433,8761",69.0,41.5,7.58,61.0,47.0,14.9,46,13.21,0.3,15.83,0.24,9.7,12.05,0.44,0.14,0.11,,29.0,197.0,205.0,2.5,,1.6,1.5,,,,12.1,1.66,7.82,,,,9.91,1.46,,,,,,
3,10084,"711775,1317","20448,1830000002",78.0,41.0,7.3,61.7,,16.9,47.3,12.8,0.3,16.2,0.22,9.2,12.4,0.38,0.15,1.6,,26.8,200.0,168.0,,,1.4,,,,41,13.66,1.74,,21.0,4.34.6,,11.35,1.69,,,,,,
4,10085,"711775,1317","20448,1830000002",75.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10086,"711775,1317","20448,1830000002",,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10087,"711775,0619","20448,1830000002",,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12001,"-710227,584206135","-91345,6215472229",56.0,46.0,2.8,40.2,110.0,35.6,85,12.5,0.41,17.2,0.22,10.4,10.9,0.48,0.26,1.8,,42.5,190.0,430.0,140.0,11.8,1.5,5.4,,,57,17.3,1.85,3.7,22.0,5.0,1.8,13.0,1.85,,,,,,
8,12023,"-710575,488639481","-91593,228762099",60.0,,2.8,35.7,,33,88,13.9,22.0,15.4,10.0,11.0,11.23,6.0,,2.5,1.0,42.0,220.0,423.0,,11.6,1.5,6.3,1.7,,62,15.5,1.8,3.4,,,,12.4,1.74,,,,,2.5,1.5
9,12024,"-710575,488639481","-91593,228762099",30.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12029,"-710104,126280888","-91450,3138678326",,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12030,"-710290,547748011","-91327,3744658713",14.0,46.6,3.6,,,,,14.2,0.35,15.4,0.22,9.7,10.4,0.43,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12032,"-710473,018561526","-91539,4011066911",12.0,,2.9,,,,117,15.2,0.26,14.1,0.2,9.4,10.7,0.59,0.36,2.2,,,,529.0,,,,,,,73.0,20.7,2.12,,28.0,,,15.2,2.24,,,,,,
13,12033,"-710375,733716432","-91321,69540131",14.6,48.2,2.33,,,48.5±0.6,127.0±2,15.1,0.37,12.9,0.18,8.43,10.6,0.87,0.54,0.55,,,,,,,,,,,90.0±20,21.5±0.2,2.31±0.02,4.6±0.2,31.8±0.2,6.1±0.3,,17.4±0.5,2.43±0.03,,,,,,
14,12037,"-710481,907532144","-91545,0801712525",21.0,44.8,3.5,,160.0,51.3,136,15.1,0.36,14.9,0.25,10.2,10.5,0.65,0.38,2.4,,,,,,,,,,,80,23.5,1.96,4.6,28.0,7.9,2.6,17.8,2.43,,,,,,
15,12041,"-710365,11633486","-91581,6237171257",63.0,46.8,2.7,,,,,15.4,0.23,14.2,0.2,9.1,10.9,0.43,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12042,"-710272,522890925","-91529,5244726713",61.0,45.7,2.71,,,36.8,111,13.0,0.39,16.2,0.24,10.4,10.6,0.54,0.25,0.33,,,,,,,,,,,79,19.7,2.03,3.87,25.8,4.46,,13.8,2.09,,,,,,
17,12044,"-710155,978609491","-91530,0676875425",57.0,46.7,3.6,37.9,,33.1,94,14.6,0.28,14.2,0.21,9.5,10.6,0.43,0.24,2590.0,,45.5,,380.0,,12.9,1.9,7.4,,,63,20.16.27,2.121.69,3.79,,4.2,,12.9,1.81,,,,,,
18,12060,"-710096,224973672","-91448,0916251782",24.0,45.3,4.2,,,,,12.6,0.23,16.9,0.27,9.6,10.5,0.38,0.25,0.26,0.07,,,,,,,,,,,,,,,,,,,,,,,,
19,12070,"-710226,604258853","-91343,4724630341",47.0,45.7,2.78,,,34.9±0.5,86.3±103,13.0,0.42,16.4,0.23,10.5,10.4,0.48,0.23,0.32,,,,,,,,,,,57.0±0.9,18.1±0.3,1.79±0.04,3.7±0.1,24.3±3,4.90±0.05,,12.9±0.4,1.9±0.03,,,,,,
20,14003,"-529796,524995393","-110532,334600777",66.0,48.08,1.77,27.0,58.0,75,,17.59,0.26,10.45,0.14,9.27,11.12,0.65,0.54,0.58,,308.0,430.0,1000.0,135.0,,,,,,,,,,,,,27,,,,,,,
21,14141,"-528467,404185674","-110093,196738592",5.7,,0.98,21.5,,71.4,200,8.75,,7.9,,25.0,5.7,15.0,,3.3,,31.0,,900.0,,25.0,5.7,15.3,,,104,34.7,2.82,7.4,,,,23.8,3.35,,,,,,
22,14148,"-529557,466994355","-110574,727552961",74.0,48.5,1.71,21.0,44.0,64.3,176,17.38,,10.55,0.13,9.66,10.4,0.71,0.53,0.5,0.19,34.4,,,,25.7,4.7,13.8,,,98,31.5,2.68,6.6,,,,21.7,3.18,,,,,,
23,14149,"-529557,466994355","-110574,727552961",53.0,48.0,1.61,21.5,,65.1,177,17.45,0.19,9.95,0.14,9.54,10.54,0.75,0.58,0.48,,40.0,,,,23.0,4.8,13.6,,,100,31.6,2.76,6.7,,,,21.7,3.08,,,,,,
24,14156,"-529557,466994355","-110574,727552961",68.0,48.1,1.71,20.9,36.0,65.1,175,17.15,0.19,10.55,0.14,9.55,10.16,0.72,0.53,0.49,,36.2,,,,23.2,4.8,13.8,,,,314,2.66,6.6,,,,21.5,3.05,,,,,,
25,14163,"-529801,129075413","-110528,793000761",57.0,47.97,1.77,25.0,57.0,79,,17.57,0.26,10.41,0.14,9.18,11.15,0.68,0.58,0.52,,36.0,400.0,1100.0,140.0,,,,,,,,,,,,,28,,,,,,,
26,14240,"-529557,466994355","-110574,727552961",46.0,47.77,1.67,28.0,52.0,67,,17.99,0.23,10.02,0.14,9.47,11.25,0.7,0.54,0.55,,33.0,320.0,1170.0,390.0,,,,,,,,,,,,,23,,,,,,,
27,14259,"-529910,816180082","-110497,025252939",85.0,48.16,1.73,28.0,62.0,77,,17.6,0.26,10.41,0.14,9.26,11.25,0.61,0.51,0.53,,38.0,440.0,1100.0,150.0,,,,,,,,,,,,,30,,,,,,,
28,14260,"-529910,816180082","-110497,025252939",72.0,47.11,1.87,22.8,,66.5,172,16.97,45.0,11.08,0.17,9.42,10.95,0.68,0.49,0.47,0.12,38.1,450.0,,,23.8,3.8,12.1,,,,28.9,2.40,8.3,,,,21.7,3.06,,,,,164.0,
29,15012,"109929,8946","787539,8693",66.0,46.77,1.46,28.0,114.0,,,16.75,0.3,12.4,0.17,10.35,10.95,0.45,0.21,0.22,,40.0,,,,9.9,,4.9,,,,,,,,,,,,,,,,,
30,15013,"108377,1779","792360,1522",77.0,46.94,1.72,,,,,14.46,0.35,14.98,0.21,10.35,10.38,0.44,0.22,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
31,15014,"108472,2364","792311,8396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,15020,"108454,8194","792311,4884",70.0,46.56,1.75,28.0,114.0,26,73,13.73,,15.21,0.2,10.37,10.54,0.41,0.2,0.18,0.06,40.0,,320.0,,9.9,1.2,4.9,1.5,,,12.9,1.4,2.3,,,,9.5,1.3,350.0,,,,,
33,15030,"108377,1779","792360,1522",68.0,,1.7,28.0,120.0,27,75,14.1,0.39,270.0,0.19,12.0,10.2,0.45,0.23,320.0,,42.0,,270.0,,9.5,1.1,4.8,1.6,,,12.9,1.3,2.4,,,,8.7,1.3,320.0,,,,,
34,15040,"108377,1779","792360,1522",94.0,,1.7,26.0,170.0,26,68,14.2,0.36,14.3,0.18,11.0,10.6,0.43,0.21,350.0,,41.0,,250.0,,9.1,1.1,4.8,1.6,,,12.7,1.3,2.2,,,,8.1,1.2,350.0,,,,,
35,15070,"107887,7013","789165,7942",52.0,46.95,1.6,,,,,12.7,0.46,16.29,0.21,10.75,10.49,0.33,0.092,0.13,0.07,46.1,170.0,,,,,,,,,,,,,,,,,,,,,,
36,15080,"107927,155","789155,9688",68.0,48.13,1.501,,116.0,,,13.85,0.44,16.21,0.2,11.14,11.19,0.36,0.15,,,46.0,209.0,185.0,120.0,,,,,,,,,,,,,,,,,,,,
37,15090,"107326,6589","788561,4968",74.0,46.47,1.31,21.0,80.0,32,,17.47,0.24,11.57,0.17,10.5,11.77,0.41,0.18,0.16,,39.0,365.0,,155.0,,,,,,,,,,,,,7.7,,,,,,,
38,15100,"107334,7585","788571,3967",70.0,46.29,1.31,21.0,94.0,28,,17.7,0.22,11.53,0.16,10.55,11.54,0.41,0.19,0.16,,44.0,295.0,350.0,170.0,,,,,,,,,,,,,9.4,,,,,,,
39,15200,"107328,5504","788564,0013",68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,15210,"107328,6905","788564,0013",60.0,46.35,1.34,22.0,80.0,,,17.73,0.23,11.66,0.16,10.48,11.68,0.44,0.19,0.19,,40.0,325.0,315.0,150.0,,,,,,,,,,,,,7.7,,,,,,,
41,15220,"107328,6905","788564,0013",63.0,46.56,1.27,20.0,84.0,24,,17.54,0.23,11.32,0.15,10.69,11.87,0.45,0.19,0.16,,44.0,320.0,300.0,160.0,,,,,,,,,,,,,7.2,,,,,,,
42,15230,"107328,6905","788564,0013",71.0,46.4,1.35,22.0,82.0,28,,17.14,0.23,11.53,0.16,10.47,11.88,0.41,0.19,0.15,,42.0,315.0,290.0,155.0,,,,,,,,,,,,,6.8,,,,,,,
43,15240,"109953,1071","787514,6667",45.0,,,24.7,,27.2,71.8,39.0,27.0,274.0,14.0,9.3,1.2,3.0,,1.2,,39.6,270.0,274.0,140.0,9.34,1.25,3.84,0.96,,45,11.65,1.43,2.43,15.6,3.56,1.61,9.23,1.26,,,,,,
44,15250,"109954,1226","787512,9493",75.0,47.02,1.49,24.0,85.0,40,,16.28,0.3,12.0,0.16,10.31,11.25,0.54,0.22,0.24,,46.0,405.0,340.0,160.0,,,,,,,,,,,,,11,,,,,,,
45,15260,"109929,8946","787539,8693",77.0,,1.4,,81.0,,,16.1,0.36,12.09,0.16,,11.89,0.45,,,,42.0,250.0,260.0,136.0,,,,,,,,,,,,,,,,,,,,
46,15270,"109938,6657","787531,8185",63.0,46.7,1.47,,80.0,,,16.51,0.38,12.15,0.16,10.55,11.29,0.43,0.21,0.21,0.08,40.0,231.0,265.0,137.0,,,,,,,,,,,,,,,,,,,,
47,15290,"109934,0382","787514,4146",63.0,47.21,1.44,24.0,103.0,42,,16.4,0.29,11.75,0.17,10.25,11.47,0.53,0.21,0.25,,46.0,300.0,350.0,160.0,,,,,,,,,,,,,12,,,,,,,
48,15300,"109228,7141","788068,2411",48.0,49.91,1.17,,97.0,,,14.53,23.0,14.05,0.19,12.12,10.7,0.35,0.16,0.15,0.04,51.0,234.0,190.0,110.0,,,,,,,,,,,,,,,,,,,,
49,15310,"109228,7141","788068,2411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,15400,"109615,0305","787445,3158",5.6,45.35,0.4,,,19.40,51.0,7.52,0.44,20.1,0.22,17.08,8.42,0.13,,0.9,,,,,,,,,,,,31.91,1.003,,12.50,,,6.41,0.952,,,,,,
51,15410,"109191,6786","788092,0137",43.0,,1.09,23.0,103.0,18,51,15.08,0.37,13.36,0.18,11.74,10.91,0.36,0.16,0.17,,43.0,,180.0,,6.4,0.75,3.0,0.9,,,8.4,1.0,1.5,,,,5.9,0.90,,,,,,
52,15470,"109236,4375","788995,8446",34.0,46.1,1.58,,128.0,,,12.91,0.47,16.24,0.21,11.11,10.42,0.32,0.12,0.12,0.07,46.0,179.0,165.0,115.0,,,,,,,,,,,,,,,,,,,,
53,15500,"106890,3361","792274,3841",51.0,,1.81,,129.0,,,12.2,0.49,16.72,0.22,10.8,10.25,0.37,0.16,0.17,0.07,50.0,224.0,220.0,,,,,,,,,,,,,,,,,,,,,
54,15510,"106904,3487","792276,0698",,,1.9,,131.0,,,12.4,0.45,17.4,0.22,12.0,10.0,0.37,0.14,,,47.0,197.0,210.0,115.0,,,,,,,,,,,,,,,,,,,,
55,15530,"106525,5167","792284,2413",27.0,46.42,2.169,36.0,182.0,,,9.86,0.56,20.7,0.25,11.34,9.38,0.31,0.87,,,50.0,,,,4.4,,1.8,,,,,,,,,,,,,,,,,
56,15600,"106567,2853","792281,5048",29.0,45.05,1.98,35.1,200.0,11.3,29,10.2,0.56,19.79,0.26,10.89,9.87,0.29,0.1,0.11,0.06,48.9,,135.0,,4.9,0.6,1.52,0.46,,,6.3,1.01,1.33,9.7,1.0,,5.2,0.9,170.0,,,,,
57,60050,"469215,762323694","-272410,248965746",57.0,44.8,0.44,7.83,19.0,10.06,21.0,28.5,25.0,4.5,0.04,5.05,16.2,0.46,0.14,0.5,,21.3,250.0,108.0,165.0,3.89,0.526,1.76,0.46,,,4.88,1.119,1.04,,,,3.42,0.501,,,,,,
58,60500,"469226,448323694","-272362,831965746",80.0,45.63,0.59,8.8,14.0,10,,27.14,72.0,5.44,0.7,5.52,15.44,0.4,0.114,0.14,,37.0,720.0,143.0,121.0,,,,,,,,,,,,,,,,,,,,
59,60600,"469196,236323694","-272343,319965746",85.0,45.35,0.6,9.22,,12.52,32.6,26.75,,5.49,0.07,6.27,15.46,0.38,0.11,0.13,0.07,31.4,,,,4.6,,,,,21.1,3.9,1.13,1.22,8.02,,,3.99,0.58,,,,,,
60,61160,"467870,940323694","-272342,997965746",82.0,,0.58,9.4,,11.9,32,26.26,0.98,5.25,0.65,6.35,16.23,0.43,0.1,0.5,,22.2,305.0,,,4.2,0.6,1.8,,,,5.6,1.20,1.27,,,,3.9,0.56,,,,,,
61,61180,"467852,906323694","-272350,649965746",82.0,,0.66,9.26,21.0,12.43,33.9,27.1,0.12,5.47,18.0,5.78,15.56,0.51,0.25,0.18,,31.5,435.0,139.0,180.0,4.69,0.654,2.09,0.54,,,5.92,1.185,1.28,,,,4.17,0.593,,,,,,
62,61220,"467854,781323694","-272356,280965746",9.2,,0.49,7.0,,9.1,22.7,28.25,,4.55,0.06,5.02,16.21,0.42,0.09,0.1,0.06,17.0,,,,3.0,,,,,14.5,4.35,1.28,0.90,5.76,1.1,,3.01,0.44,,,,,,
63,61240,"467854,781323694","-272356,280965746",47.0,,0.57,9.1,18.0,11.8,30,27.15,,5.33,0.07,5.75,15.69,0.55,0.1,0.13,0.07,22.8,,130.0,,3.3,0.4,1.8,0.55,,,5.0,1.10,1.1,5.6,,,3.8,0.50,,,,,,
64,61280,"467818,000323694","-272379,551965746",69.0,44.65,0.54,11.5,27.0,,,27.12,44.0,5.07,0.6,,16.0,0.45,0.13,,,26.0,440.0,115.0,135.0,,,,,,,,,,,,,3.3,,,,,,,
65,61500,"467874,912323694","-272314,250965746",53.0,44.66,0.56,10.0,,12.1,36,26.5,,5.31,0.07,6.08,15.33,0.41,0.11,0.11,0.08,35.0,,160.0,,4.3,0.56,2.2,,,,,1.22,1.2,9.1,,,4.2,0.69,,,,,,
66,62240,"468444,857323694","-272307,042965746",100.0,44.65,0.56,9.7,21.0,12.0,32,27.0,,5.49,0.7,5.84,15.95,0.44,0.13,0.1,,25.1,,130.0,,3.2,0.5,1.9,0.54,,,5.4,1.07,1.1,6.5,,,3.6,0.49,,,,,,
67,62280,"468455,753323694","-272337,145965746",76.0,,0.6,8.9,16.0,10.6,26,26.7,0.11,5.5,0.67,6.6,15.9,0.47,0.12,0.4,,19.7,,120.0,,2.8,0.4,1.6,0.55,,,4.6,1.15,1.00,5.4,,,3.3,0.44,,,,,,
68,63320,"469533,472323694","-268510,659965746",47.0,,0.35,8.2,15.0,9.3,24,28.93,0.94,4.67,0.68,6.96,15.67,0.57,0.77,0.4,,19.8,,130.0,,3.3,0.5,1.3,0.44,,,4.1,1.21,0.78,5.9,,,3.1,0.45,,,,,,
69,63340,"469533,472323694","-268510,659965746",54.0,,0.6,,,,,29.0,0.95,4.53,0.67,7.3,12.45,0.56,0.15,,,,,,,,,,398,,,,,,,,,,,,,,,,
